,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
2352,The Witches of Oz,"Action & Adventure, Comedy, Sci-Fi & Fantasy",2,5.95,5.7,40,"The Witches of Oz follows the exploits of the grown Dorothy Gale, now a successful children's book author, as she moves from Kansas to present day New York City. Dorothy quickly learns that her popular books are based on repressed childhood memories, and that the wonders of Oz are very, very real. When the Wicked Witch of the West shows up in Times Square, Dorothy must find the inner courage to stop her.",,/ApRlpEpjF6HFBChikxbsxxA1bSH.jpg
2353,Riverworld,"Drama, Sci-Fi & Fantasy, Action & Adventure",2,3.172,4.8,6,"Riverworld is a television film released on the Syfy channel on April 18, 2010. Based on the Riverworld books by Philip José Farmer, the made-for-TV film is a reboot of the aborted Sci-Fi Channel Riverworld television series, of which only the pilot episode was produced.

Riverworld stars Tahmoh Penikett, Laura Vandervoort, Jeananne Goossen, Alan Cumming, Mark Deklin, and Peter Wingfield. It is produced by Reunion Pictures, an award-winning Canadian-based production company. It is written by Robert Hewitt Wolfe and directed by Stuart Gillard.",,/4Q1koRbQOwxwx48eYOeDhHxy97F.jpg
2354,Hatfields & McCoys,"Western, Drama",3,15.183,7.479,257,"It’s the true American story of a legendary family feud—one that spanned decades and nearly launched a war between Kentucky and West Virginia. The Hatfield-McCoy saga begins with Devil Anse Hatfield and Randall McCoy.. Close friends and comrades until near the end of the Civil War, they return to their neighboring homes—Hatfield in West Virginia, McCoy just across the Tug River border in Kentucky—to increasing tensions, misunderstandings and resentments that soon explode into all-out warfare between their families. As hostilities grow, friends, neighbors and outside forces join the fight, bringing the two states to the brink of another civil war.",['Ted Mann'],/20sdSd2UxKb6286zA87aufliu9M.jpg
2355,Treasure Island,"Action & Adventure, Drama",2,10.25,6.312,77,"In this two-part miniseries adaptation of the classic adventure novel, young Jim Hawkins is the only one who can direct a schooner to an island known for buried treasure. But aboard the ship is a mysterious man whose true motives challenge Jim's trust in the entire crew.",['Steve Barron'],/94HhCCbzl3ZVVUVZGlUNYKkzoW4.jpg
2356,George Harrison: Living in the Material World,Documentary,2,1.539,7.5,12,He was part of the most famous rock-'n'-roll quartet in history. But George Harrison was much more than just a member of The Beatles.,,/6o8HiKjEpwGFAfJOOlGb3ugrQhg.jpg
2357,Teen Choice Awards,"Comedy, Family, Kids",16,0.6,10.0,7,"The Teen Choice Awards is a teen awards show presented annually by Fox. The first awards were held in 1999. The program honors the year's biggest achievements in music, movies, sports, television, fashion and more, as voted on by teens aged 13–19. The program features a number of celebrities and also musical performers. The winners are awarded with authentic mini size (182 cm) surfboards designed with a summertime theme. The ceremony has created spin-off teen awards on YouTube.",,/3q900BNcKbe3GHga4RVxSnoiqP4.jpg
2358,Star Trek: Of Gods and Men,"Drama, Sci-Fi & Fantasy",3,5.826,6.4,7,"Star Trek: Of Gods and Men is a three-part unofficial Star Trek fan mini-series which contains many cast members from the Star Trek TV series and movies. It is described by its producers as a ""40th Anniversary gift"" from Star Trek actors to their fans. It was filmed in 2006, but its release was delayed until 2007–08. It is not officially endorsed by the rightsholders of Star Trek, but has been covered on the official Star Trek website.",,/9TS8QTiyGJ47i78JFt0d0x37ma9.jpg
2359,Prisoners' Wives,"Drama, Drama",10,2.826,8.0,5,"Behind every prisoner, there's a wife, girlfriend or mother doing time on the outside. For some it's a nightmare, for others a liberation. Prisoners' Wives - it's time to tell their stories.",['Julie Gearey'],/A6gRla5qY3OMKmAUzK6vMHj87jZ.jpg
2360,The IT Crowd,Comedy,0,3.052,5.435,23,"You know those cool guys who charm the ladies, have tons of friends and get invited to the hottest parties? Roy and Moss are not those guys. A night of fun for these I.T. nerds means getting dressed to the nines for the latest iPhone webcast. But Jen, their new office manager, is going to change all that. Tech-savvy, she’s not, but she knows how to win people over and get ahead. After living for years in oblivion, Roy and Moss hope Jen can help them get the recognition they so desperately long for.",,/vah1dnAyxXMBKGyGZDWB7g9Yz0q.jpg
2361,Finding Your Roots,Documentary,96,12.646,7.0,7,"Noted Harvard scholar Henry Louis Gates, Jr.  has been helping people discover long-lost relatives hidden for generations within the branches of their family trees.  Professor Gates utilizes a team of genealogists to reconstruct the paper trail left behind by our ancestors and the world’s leading geneticists to decode our DNA and help us travel thousands of years into the past to discover the origins of our earliest forebears.",,/AwB5G1O1Ojd8iAbbaGPgXR6LTQF.jpg
2362,Kaboul Kitchen,Comedy,36,3.103,6.3,7,"Kaboul Kitchen is a French comedy television series broadcast by Canal+. It was created by Marc Victor, Allan Mauduit and Jean-Patrick Benes. The series is based on the true story of Radio France Internationale journalist Marc Victor, who ran a restaurant for French expatriates in Kabul until 2008. The first series premiered on February 15, 2012 on Canal+ and ended on March 5, 2012. It set a ratings record for comedy series in the primetime slot on Canal+. A second series, which will have 12 episodes, has been commissioned.

The series depicts the life of French expatriate Jacky who runs the popular restaurant Kaboul Kitchen in Kabul, Afghanistan. His daughter Sophie, who he has not seen in 20 years, arrives to do humanitarian work, while he is interested only in making money.

The series won two Golden FIPA Awards at the 2012 Festival International de Programmes Audiovisuels: one for Best TV Series and one for Best TV Screenplay. It was screened at MIPTV and named fourth on The Hollywood Reporter's list of ""MIPTV A-List Projects"" for the most promising series screened at the event.","['Allan Mauduit', 'Jean-Patrick Benes', 'Marc Victor']",/8YPLRd5TrhX888aDjNhe7xQMQsF.jpg
2363,Birdsong,"Drama, War & Politics",2,7.532,6.895,62,"As an English soldier fights in the horrific trenches of northern France, he is haunted by the memories of his forbidden love affair with a French woman.",,/x4QdPNpWjmI47iv9Z7F46BT3gQW.jpg
2364,Noel Fielding's Luxury Comedy,Comedy,12,1.931,7.4,10,"Noel Fielding fronts this psychedelic character-based comedy show half filmed and half animated, with music provided by Kasabian's Sergio Pizzorno.",['Noel Fielding'],/daR5ss563EPqMitPSVzhas6w4Oc.jpg
2365,Cinema Europe: The Other Hollywood,Documentary,6,0.6,8.0,7,"The origin of European cinema, from its infancy as a novelty created by French inventors Auguste and Louis Lumière to its flourishing as the pinnacle of film-making in the silent era and as a serious commercial contender against America.",,/7kfiRWfaea0TxPIe7NZfQZwagvE.jpg
2366,Hammer House of Horror,"Drama, Sci-Fi & Fantasy",13,9.055,7.2,54,"Anthology series, in which each self-contained episode featured a different kind of horror. These varied from witches, werewolves, ghosts, devil worship and voodoo, but also included non-supernatural horror themes such as cannibalism, confinement and serial killers.",['Roy Skeggs'],/3yk6f4XElkMJQKh3iHJgoRWcfc0.jpg
2367,Lewis & Clark - The Journey of the Corps of Discovery,"Documentary, Western",2,2.057,7.444,9,"Lewis & Clark: The Journey of the Corps of Discovery  tells the remarkable story of the entire Corps of Discovery – not just  of the two Captains, but the young army men, French-Canadian boatmen,  Clark’s African-American slave, and the Shoshone woman named Sacajawea,  who brought along her infant son. As important to the story as these  many characters, however, was the spectacular land itself, and the  promises it held.",,/hjiMdLSUgv6U97hCVKyKX4HxCut.jpg
2368,Canaan,"Animation, Drama, Action & Adventure",13,7.551,6.646,24,"Two years ago, Shibuya was ravaged by a biological terrorist  attack using the deadly Ua virus. Maria Osawa was saved when her father  inoculated her against the virus, but is left with partial amnesia from  the shock. She works as a cameraman when she reunites with a girl named  Canaan in Shanghai, China. A gifted assassin with synesthesia, she is  under orders from an unknown organization for a yet unspecified mission",,/pz6F0f9gmXOVH9IprXDm3XONad4.jpg
2369,Labyrinth,Sci-Fi & Fantasy,2,6.562,5.7,60,"Jumping back and forth between modern and medieval France, the lives of two women separated by centuries, are united in their search for an ancient artifact.",,/7ze6V3XYVBeQe3Y9opRw3Hbyhbh.jpg
2370,Fugget About It,"Animation, Comedy",46,4.015,8.208,12,"Fugget About It is a Canadian adult animated sitcom created by Nicholas Tabarrok and Willem Wennekers for Teletoon's Teletoon at Night block. The show is rated 18A for sexuality, violence, and swearing. The show was created from the Pilot Project contest on Teletoon.","['Willem Wennekers', 'Nicholas Tabarrok']",/lFz1HYRPXw533n97bpSqJWq0BZP.jpg
2371,One Night,Drama,4,1.861,7.909,11,The story of four ordinary people whose fates are linked by a seemingly inconsequential event.,['Paul Smith'],/2HWgCXwOSK56lteYBIjB0JMsTfs.jpg
2372,Dog with a Blog,"Comedy, Family, Drama",70,18.208,7.06,92,"Avery Jennings and Tyler James are step-siblings who are complete opposites. The family faces an even bigger adjustment when their new dog, Stan, can talk and also has a blog, unbeknownst to the family. Stan uses his blog to discuss the happenings in the Jennings-James household. Avery and Tyler later learn of Stan's talking ability and agree to keep it a secret from their parents.",['Michael B. Kaplan'],/3MOm5Yxtm2h4c6ZtBVBhTTNpBn3.jpg
2373,Cracked,"Crime, Drama",21,5.503,6.333,15,"The Psych Crimes Unit, a unique team of police detectives and mental health professionals, is tasked with solving bizarre and chilling crimes that cross the boundary between law enforcement and psychological disturbance.","['Tracey Forbes', 'Calum de Hartog']",/2IBYX1WwSRpp38X4YD7HOJH5v8P.jpg
2374,The Reckoning,Drama,2,2.039,5.0,11,"Sally Wilson's daughter Amanda is stricken with a brain tumour and each day, her condition appears to be worsening. Sally is at her wits end as to how to help her daughter and knows a life saving operation in America that she can't afford would be the answer. When the harassed single Mum is called to the office of a swish city lawyer, she never expects a life or death proposition. She’s been bequeathed £5 million! But in order to qualify for this amazing transfer of funds, Sally must first kill a man who deserves to die.",,/aAVqq9bEpAiKpXWm6fnYjNPQ1Ed.jpg
2375,The Mystery of Edwin Drood,"Drama, Mystery",2,2.087,5.7,14,Choirmaster John Jasper is obsessed with his nephew's fiancé. Will he take his opportunity to get rid of Edwin Drood?,,/afJL7uqu5MzMgRjRtQxMyFCDFJh.jpg
2376,The Green Man,,3,1.197,6.8,8,"An alcoholic pub landlord has visions of a 17th-century doctor of the occult, beginning a monumental clash between good and evil. Adapted from the novel by Kingsley Amis.",,/rRdPagGiUSwl6mMjnjKfqUexh04.jpg
2377,The Bible,Drama,5,15.978,7.363,886,The story of God's creation of the Earth and the landmark events leading up to the Crucifixion of Jesus Christ.,,/cqGupIDrTHosdGTm5N0V4qMrZyf.jpg
2378,Billy on the Street,Comedy,60,8.165,6.711,19,"Comedian Billy Eichner, unfiltered and unapologetic, hits the streets of New York City to test unsuspecting strangers on their knowledge of music and pop culture. With microphone in hand and money in tow, Eichner gives contestants the chance to win cash by answering a series of hilarious and spontaneous questions. The catch? The final round is subjective - Don't agree with Billy? You lose.",['Billy Eichner'],/kmWs0EjvFo1jZiAxndBt7tMxvTu.jpg
2379,Shock and Awe: The Story of Electricity,Documentary,3,1.223,8.5,10,"Professor Jim Al-Khalili tells the electrifying story of our quest to master nature's most mysterious force - electricity. Until fairly recently, electricity was seen as a magical power, but it is now the lifeblood of the modern world and underpins every aspect of our technological advancements. Without electricity, we would be lost. This series tells of dazzling leaps of imagination and extraordinary experiments - a story of maverick geniuses who used electricity to light our cities, to communicate across the seas and through the air, to create modern industry and to give us the digital revolution.",,/15T3gFQuT7wzxYhH5b7uZ9R5sme.jpg
2380,Dating Rules from My Future Self,Comedy,15,2.766,7.333,6,A girl gets romantic advice from herself ten years in the future via text message.,,/ckgSbyiKfXItDQJb9v4s4SNX9V4.jpg
2381,The Sarah Millican Television Programme,Comedy,18,1.498,6.6,5,"The Sarah Millican Television Programme is a British comedic television show about television. It is shown on BBC Two and is hosted by comedian Sarah Millican. It began on 8 March 2012 and is scheduled to run for six episodes. A second series was broadcast from Christmas Day 2012 and throughout January, and a third series has been commissioned.

An unbroadcast pilot episode was filmed on 25 May 2011. A series was then commissioned and filmed at the MediaCityUK complex in Salford in late-2011.

The series is a co-production by So Television and Millican's own company, Chopsy Productions.",,/7wP4twhiqpKZFmxdxEtUrP60ziW.jpg
2382,Line of Duty,"Crime, Drama, Mystery",36,43.837,8.267,296,"A drama about the investigations of AC-12, a controversial police anticorruption unit.",['Jed Mercurio'],/ysGUKnnR1pGYIndjXWcjupGbWpS.jpg
2383,The Girl's Guide to Depravity,Comedy,26,3.149,6.6,7,"The Girl's Guide to Depravity is a comedy/drama series based on Heather Rutman's popular book and blog of the same name. The show debuted in the US on Cinemax in February of 2012, and has aired internationally in Latin America, Spain, Canada, and Japan.",,/wKXlzUsocoSm3FNNoSXlXMed6fc.jpg
2384,Chicago Fire,Drama,239,248.949,8.438,1920,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.","['Michael Brandt', 'Derek Haas']",/iiI1YU8akLYWdWuX1qHuMYPvSHC.jpg
2385,The Hollow Crown,"Drama, History",7,12.226,7.479,48,A series of British television films featuring William Shakespeare's History Plays.,,/1Q8m6nI5m66DjnQ5V661anWqpVu.jpg
2386,All Watched Over by Machines of Loving Grace,Documentary,3,2.598,8.256,43,"We have been colonised by the machines we have built. Although we don't realise it, the way we see everything in the world today is through the eyes of the computers.",['Adam Curtis'],/j7SF5glK24tPGD13uC19KeoHOQj.jpg
2387,Million Dollar Listing New York,Reality,117,4.026,6.026,19,Follows some of Manhattan's most relentless realtors as they close multimillion dollar deals faster than a yellow cab runs a red light.,,/en2WjVfxZuPEWH1XP6Y7uXCydEC.jpg
2388,The Hire,"Action & Adventure, Crime",9,4.707,7.2,10,"BMW film presents ""The Hire"", a series of eight short films produced for the Internet in 2001 and 2002. A form of branded content, all eight films feature popular filmmakers from across the globe, star Clive Owen as the ""The Driver"" and highlight the performance aspects of various BMW automobiles. The series made a comeback in 2016, fifteen years after its original run ended.",['David Fincher'],/gpmhVICNp2K4n0tsGBqqlRiV7ge.jpg
2389,Brazil with Michael Palin,Documentary,4,1.442,7.3,7,"Brazil with Michael Palin is a travel documentary series by Michael Palin consisting of four episodes. Palin, had never been to Brazil which, in the 21st century, has become a global player with a booming economy bringing massive social changes to this once-sleeping giant which, as the fifth largest country, is as big as some continents.",,/69Q0Mu9LI8pzdKA2BPhd9vqICjL.jpg
2390,Broadway: The American Musical,Documentary,6,0.6,7.8,5,"This six part documentary miniseries presents the evolution of the Broadway musical from its inception in 1893 to current day 2004. It presents those influential players both on stage and behind the scenes, as well as a variety of influential Broadway shows, a handful which are known to have transformed the musical into what the audience knows it to be today.",,/nl3b5H4czb5kh77tIKqOGfxHreA.jpg
2391,Burning Love,Comedy,42,4.593,7.339,28,"Burning Love is a scripted comedy series which is a web spoof of the television shows The Bachelor, The Bachelorette and Bachelor Pad. Depending on the season, the show either follows a man or a woman who is looking for the perfect mate from a pool of contestants, or has contestants living together in a mansion competing for a cash prize. Ben Stiller is executive co-producer.

Season 1 showcases fireman Mark Orlando as the bachelor. Season 2 of the series, which premiered in February 2013, stars June Diane Raphael reprising her role as season 1 contestant Julie, now the bachelorette given the chance to find the perfect man. Season 3 also premiered in 2013 and starred former contestants from Seasons 1 and 2 competing for a $900 prize rather than for love.",,/zVSpYSuACSvqLDBFL35ZmlWDzQU.jpg
2392,The Booth at the End,Drama,10,2.93,7.8,36,"A mysterious man sits in the booth at the end who people make a deal with to get what they want. They do the task or they don't - that is up to them, but there are no rule changes.",['Christopher Kubasik'],/dG15J9859DiWjiv4Luov4C4SULe.jpg
2393,Have I Got a Bit More News for You,"News, Comedy",301,28.87,6.8,11,"Based on the week’s news and fronted by guest hosts, this extended version of the satirical news quiz features more of the stuff that wouldn't fit into the regular programme.",,/aOZuKQ2uWRfZPzn61bnzQT5LhMR.jpg
2394,DreamWorks Dragons,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",40,33.951,7.67,581,"From the creators of ""How to Train Your Dragon"" comes a new series that takes Hiccup and Toothless to the edge of adventure.",['Chris Sanders'],/fDzGH0jGhJMMxbgsb9JiC7Ep4uk.jpg
2395,The Undateables,Documentary,30,2.054,7.6,8,Follow single people with disabilities as they sign up to a dating agency in order to find a partner.,,/vXoDAmbYDFiUNblUbZmIzYY2wu0.jpg
2396,The Neighbors,"Comedy, Sci-Fi & Fantasy, Family",44,14.341,6.25,65,"When the Weavers move to a gated community in New Jersey, they discover that the entire neighborhood is comprised of aliens from the planet Zabvron. But as the Weavers and the aliens face the struggles of everyday life together, they discover that some things -- the ups and downs of marriage, the desire to be a good parent and raise a happy family -- are universal. Intergalactic, even.",['Dan Fogelman'],/byYckInWgH6fjSc6HVg2CZapeNK.jpg
2397,Magic Kaito: Kid the Phantom Thief,"Animation, Animation, Mystery, Crime",12,14.541,7.2,5,,,/lK0VNYGpHgLjsh140BKmfnGOSWq.jpg
2398,Pac-Man and the Ghostly Adventures,"Animation, Family, Kids, Comedy, Action & Adventure, Mystery",52,12.959,7.4,120,The fate of PacWorld lies with Pac and his loyal crew as they protect the Power Berries from falling into the sinister hands of Betrayus and his evil army of baddies.,"['Avi Arad', 'Tom Ruegger', 'Paul Rugg']",/tdSMY8A4yNGPh5F7fJ9AglV1paX.jpg
2399,This Is England '90,Drama,4,5.31,7.933,60,"Shaun, Harvey, Gadget, Trev and Kelly hit up the nightlife of raves and ecstasy. Woody and Lol are happy, living together with their kids and Combo is still in prison. But things slowly change. This is the year 1990 and This is England.",['Shane Meadows'],/6UabeTLTYBTFzZTTWrvXpgzrhb7.jpg
2400,Beauty and the Beast,"Drama, Sci-Fi & Fantasy",70,29.749,7.48,381,"Detective Catherine Chandler is a smart, no-nonsense homicide detective. When she was a teenager, she witnessed the murder of her mother at the hands of two gunmen and herself was saved by someone – or something. Years have passed and while investigating a murder, Catherine discovers a clue that leads her to Vincent Keller, who was reportedly killed in 2002. Catherine learns that Vincent is actually still alive and that it was he who saved her many years before. For mysterious reasons that have forced him to live outside of traditional society, Vincent has been in hiding for the past 10 years to guard his secret – when he is enraged, he becomes a terrifying beast, unable to control his super-strength and heightened senses.","['Ron Koslow', 'Jennifer Levine', 'Sherri Cooper-Landsman']",/6rZ2I1xRemLORb65spepVmsvnf7.jpg
2401,Crash Canyon,"Comedy, Animation, Drama",26,2.356,3.3,5,"Crash Canyon is a Canadian animated series. It tells the story of the community living at the bottom of a canyon. The Wendell family is looking for an original holiday by caravan but their trip ends sooner than expected at the bottom of a canyon in Alberta, Canada. Canyon walls are too high to climb and there is no way out. Soon they find out there is a whole community of 25 survivors from previous crashes down there. Dollars are not accepted and they use golf tees as a currency.","['Joel Cohen', 'Phil LaFrance', 'Jamie LeClaire', 'Kyle MacDougall']",/yayDiN42WOG8cYTNZlPKqh3c9bV.jpg
2402,Haunted Highway,"Documentary, Mystery",12,1.869,6.6,10,"Haunted Highway, is a paranormal investigation, reality television series, produced by BASE Productions, that began airing on the Syfy network July 3, 2012.

The series features two teams of investigators; Jack Osbourne, investigator Dana Workman, and Fact or Faked: Paranormal Files investigators Jael de Pardo and Devin Marble.

On the 5th episode of the series, Osbourne announced that he was diagnosed with multiple sclerosis and temporarily stepped down as host of the series.

On April 22, 2013 it was announced that the series had been renewed for a 6-episode 2nd Season set to premiere in the fall of 2013.",,/lgvyvrjmx4gS8XGWlSV1WWwgM59.jpg
2403,Orbit: Earth's Extraordinary Journey,Documentary,3,2.904,8.1,10,"Right now you're hurtling around the sun at 64,000 miles an hour (100,000 kms an hour). In the next year you'll travel 584 million miles, to end up back where you started. Presenters Kate Humble and Dr Helen Czerski follow the Earth's voyage around the sun for one complete orbit, to witness the astonishing consequences this journey has for us all.",,/hk2MOKqVxHrqIsYeOlq8X05qZpP.jpg
2404,The Dumping Ground,,103,5.293,7.6,11,"The Dumping Ground is a British children's television series, which premiered on 4 January 2013 on CBBC and BBC HD. The series is a spin-off from The Story of Tracy Beaker and Tracy Beaker Returns. The first series aired until March 2013, with a second series confirmed for January 2014.",,/embpxgcIHxpqneNsjaxnPRktmi4.jpg
2405,Love in a Cold Climate,Drama,3,2.379,8.2,9,Dramatization of Nancy Mitford's novel about three aristocratic young girls' adventures in love.,,/jmZVhQcBoLmAHoP1TwC5NpwK1WA.jpg
2406,The Mindy Project,Comedy,117,24.296,6.202,129,"Obstetrician/gynecologist Mindy Lahiri tries to balance her personal and professional life, surrounded by quirky co-workers in a small medical practice in New York City.",['Mindy Kaling'],/5YFui8dtEGUglm6pHWbBzD01c0t.jpg
2407,Wentworth,Drama,100,45.083,8.074,231,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison. A modern adaptation and sequel of the iconic Prisoner series.,"['Reg Watson', 'Lara Radulovich']",/vRwuz20zSbZLdQttyFueMtTGNdh.jpg
2408,Brand X with Russell Brand,Comedy,13,0.905,7.0,5,"Brand X with Russell Brand is an American late-night talk show, stand up comedy television series that premiered on FX on June 28, 2012, starring British comedian Russell Brand and created by Brand and Troy Miller. Its second season concluded on May 2, 2013. On June 6, 2013, FX announced that Brand X would not be renewed for a third season. However, FX has reportedly picked up a scripted pilot starring Brand that will be loosely based on his life.",['Russell Brand'],
2409,Puberty Blues,Drama,17,4.717,8.1,7,"Based on Kathy Lette and Gabrielle Carey's iconic novel, Puberty Blues tells the story of two girls, Debbie and Sue, of innocence lost and experience gained against the backdrop of Australia in the 1970s.",['John Edwards'],/pltlaggxNXq5JmW7pzPYeN0ElM8.jpg
2410,Streets of Laredo,"Western, Drama",3,4.33,6.174,23,"Captain Woodrow Call, now retired from the Rangers, is a bounty hunter. He is hired by an eastern rail baron to track down Joey Garza, a new kind of killer, only a boy, who kills from a distance with a rifle.",['Larry McMurtry'],/3xdiNzuma0QNHYCNVYYc7Eu8ieV.jpg
2411,"We, Without Wings - Under the innocent sky","Animation, Comedy, Drama, Drama",12,3.656,6.2,5,"In the big city of Yanagihara, the masses of people and buildings make it a bustling place to exist, and yet, people will meet and fall in love here in this city.",,/5B2B39zb2kRtUGQM7bm4mi0jeKi.jpg
2412,Thomas Jefferson,Documentary,2,2.57,8.6,5,"The complex life of Thomas Jefferson, who wrote that ""all men are created equal"" yet owned slaves, is recounted by master filmmaker Ken Burns in this probing documentary. Covering Jefferson's diplomatic work in France, his two presidential terms, his retirement at Monticello and more.",,/yX1m4gnw7DlZSkdphQNmm89Oc4T.jpg
2413,Long Island Medium,Reality,125,3.713,6.7,14,Theresa Caputo is an average mom from Long Island in every way except one: she talks to the dead. Theresa spends her days with her loving family and helping individuals connect to the spirits of their departed loved ones. This is not her job…this is her life.,,/7jUv9DU6vglx0D7qmLYyEC9N1bY.jpg
2414,Switch,Comedy,58,3.236,8.0,6,,,/81fVdTpiazAEdKBRE2HcQDApFKp.jpg
2415,On Wings of Eagles,"War & Politics, Drama",2,2.333,5.8,5,"On Wings of Eagles is a NBC TV mini-series, starring Burt Lancaster - Richard Crenna and directed by Andrew V. McLaglen. The TV series was adapted from Ken Follet's novel of the same name.

The plot is set during the Iranian revolution. During the takeover of Iran, the king is overthrown, and two executives of Electronic Data Systems are imprisoned on false charges. The head of the company, Mr. Perot, travels to Tehran to negotiate for their release. Meanwhile, a retired US Army Special Forces Colonel, Arthur Simons, is hired to develop a rescue plan at any cost.",,/47zcmJrWOMzqorAe3i2BBnujAD9.jpg
2416,A Touch of Cloth,"Comedy, Crime",6,7.285,7.454,54,"Hannah plays DI Jack Cloth, who is called in to investigate an apparent series of serial killings alongside his new partner, DC Anne Oldman, described as a ""plucky, no-nonsense sidekick"". Playing with the cliches and conventions of British police dramas, subplots include Cloth dealing with visions of his dead wife and the bisexual DC Oldman coming to grips with her feelings for both her female fiancee and Cloth.","['Charlie Brooker', 'Boris Starling']",/xElp5x80xStlAjOFXRpnUjKcS8g.jpg
2417,A Football Life,Documentary,124,5.031,6.1,7,"A Football Life is a documentary series developed by NFL Films and aired on NFL Network that documents the lives of select National Football League players, coaches, owners, and teams. Friends, teammates, family members and other players and coaches associated with the subjects are interviewed.

The name of the series originated in a quote from Steve Sabol of NFL Films:

Originating as an NFL Network special on the career of Bill Parcells in November 2010, it premiered as an episodic series on September 15, 2011, with the first part of Bill Belichick's documentary. The documentary was viewed by about 657,000 viewers, the most-watched documentary in NFL Network's history, and was the second-most watched program in Boston at the time with 151,000 viewers, trailing behind a Boston Red Sox game. Season One was eventually released on DVD.

Season Two began on September 12, 2012, with The Faces of Tebow.

The series was nominated for an Emmy Award for ""Outstanding Edited Sports Series/Anthology"" and ""Outstanding Promotional Announcement – Episodic"" for Belichick's episode in 2012.",,/9abHU2G5hrJf1fE8hEnmSWMpD04.jpg
2418,The Story of Film: An Odyssey,Documentary,15,6.752,7.894,46,A worldwide guided tour of the greatest movies ever made and the story of international cinema through the history of cinematic innovation.,['Mark Cousins'],/g0TCWFNIFHO8u2yy1hboUDIhD6n.jpg
2419,Hunted,Action & Adventure,8,6.053,6.8,74,Samantha Hunter suspects someone within the private intelligence agency she works at tried to kill her and she seeks to uncover the person behind it.,['Frank Spotnitz'],/f7xmk6fNp0hXcGI9k0vXeX69Afq.jpg
2420,The Bannen Way,"Action & Adventure, Comedy",16,1.798,4.9,7,"Neal Bannen, a third generation criminal, wants to get out of the con man lifestyle he's been living.",,/zbAeJZ0QJLRRRhWcWcbIxSMKNlX.jpg
2421,The Amazing Race Australia,Reality,91,5.59,9.5,6,"Australian version of the American reality competition where teams embark on a trek around the world to amazing destinations competing in a series of challenges, some mental and some physical.","['Bertram van Munster', 'Elise Doganieri']",/MY5XtXBDKVsr8yCR631OHIS17a.jpg
2422,Hardcore Pawn: Chicago,Reality,16,2.398,5.4,8,"A spin-off of Hardcore Pawn, the series follows the day-to-day operations of the Royal Pawn Shop located in Chicago, Illinois at 428 S. Clark Street, across from the Metropolitan Correctional Center near Chicago's Financial District.",,/x1wETRvNG9CvqQehdTQadyUEBJH.jpg
2423,Don't Be Tardy,Drama,91,3.564,8.8,5,"Don't Be Tardy... is an American reality television series on Bravo that debuted on April 26, 2012.",,/djuU4A8xsKofieNwEdjo0E0GQh1.jpg
2424,The Lost Empire,"Action & Adventure, Sci-Fi & Fantasy",2,6.946,4.783,23,"American journalist Nick Orton is caught up in the world of Chinese gods and monsters while on a search for the long lost manuscript to 'Hsi Yu Chi' (The Journey to the West) by Wu Ch'eng En. He is accompanied on his journey by a humanoid ape with incredible strength and magical powers, a humanoid pig-man, and his brother-in-arms, an ex-cannibal. Based on one of the greatest stories in Chinese history.",,/cPsBlGhlFbeUd6G7a4Tb8w6O7Mo.jpg
2425,Counting Cars,Reality,194,17.198,6.5,46,"Danny “The Count” Koker and his team restore, customize and sell cars in a hurry, scrambling to keep their Las Vegas shop in the black. From classics to exotics, from hotrods to choppers, Danny and the crew of Count’s Kustoms will stop at nothing to find and flip the greatest rides of all time.",,/hHVAwZVjTFqJQDo8n6pEVdqGMWX.jpg
2426,Doomsday Preppers,Documentary,50,2.86,6.1,11,"Doomsday Preppers is an American reality television series that airs on the National Geographic Channel. Dräger Equipment, Wise Food Storage Company and the United States Gold Bureau are sponsors of the show.",,/z6JpmLKFSNlyxWeaVLSwlNy2FC8.jpg
2427,Lupin the Third: The Woman Called Fujiko Mine,"Action & Adventure, Animation, Comedy, Drama",13,10.469,7.4,25,"She’s a thief. A killer. A saint and a scandal. She’s whatever you need her to be to get the job done. She takes your breath away to get what she wants. She takes everything else just because she can. It’s all in a night’s work for the woman called Fujiko Mine. She’s the slinky, sultry thread that holds Lupin III’s crew together—and this is the heist that started it all.",,/eiyGSiIlDXd4CXrwlMwjWko2fGi.jpg
2428,Future Diary Another World,"Action & Adventure, Sci-Fi & Fantasy",11,2.007,6.6,5,"This survival action series revolves around the ""Future Diary,"" a cell phone diary that contains entries about future events.

Arata Hoshino is a college student who could be the poster boy for ""inertia."" By chance, Arata gets his hands on a brand new type of smartphone made by the Chronos Corporation. The cell phone includes a diary application (Future Diary) that details ever-changing future events. At first, he takes advantage of the power of knowing what's going to happen in advance, but one day, the Future Diary displays the message, ""Arata Hoshino dies."" And thus begins a game of survival between seven people who possess the Future Diary...",,/rasclNYrUJY6GnwnduktPM3Ce3c.jpg
